Code,Name,Further Link
0101,Mathematical Sciences,
0103,Physics and Astronomy,
0105,Chemical Sciences,
0107,Earth Sciences,
0109,Biological Sciences,
0199,Other Natural and Physical Sciences,
01,Natural and Physical Sciences,
010100,Mathematical Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/A994D58F2B4763E7CA256AAF001FCA7D?opendocument
010101,Mathematics,
010103,Statistics,
010199,Mathematical Sciences n.e.c.,
010300,Physics and Astronomy,http://www.abs.gov.au/ausstats/abs@.nsf/0/4F7DE5E2AC9A28B1CA256AAF001FCA7E?opendocument
010301,Physics,
010303,Astronomy,
010500,Chemical Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/17FCD71CB27BF87CCA256AAF001FCA7F?opendocument
010501,Organic Chemistry,
010503,Inorganic Chemistry,
010599,Chemical Sciences n.e.c.,
010700,Earth Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/EC1BD5722CCD3364CA256AAF001FCA80?opendocument
010701,Atmospheric Sciences,
010703,Geology,
010705,Geophysics,
010707,Geochemistry,
010709,Soil Science,
010711,Hydrology,
010713,Oceanography,
010799,Earth Sciences n.e.c.,
010900,Biological Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/6C21D9543AD174E4CA256AAF001FCA81?opendocument
010901,Biochemistry and Cell Biology,
010903,Botany,
010905,Ecology and Evolution,
010907,Marine Science,
010909,Genetics,
010911,Microbiology,
010913,Human Biology,
010915,Zoology,
010999,Biological Sciences n.e.c.,
019900,Other Natural & Phys. Sciences,http://www.abs.gov.au/ausstats/abs@.nsf/0/6F2294CC09E9BB1FCA256AAF001FCA82?opendocument
019901,Medical Science,
019903,Forensic Science,
019905,Food Science and Biotechnology,
019907,Pharmacology,
019909,Laboratory Technology,
019999,Natural & Phys. Sciences n.e.c.,
0201,Computer Science,
0203,Information Systems,
0299,Other information technology,
02,Information Technology,
020100,Computer Science,http://www.abs.gov.au/ausstats/abs@.nsf/0/A053B5F962D23045CA256AAF001FCA83?opendocument
020101,Formal Language Theory,
020103,Programming,
020105,Computational Theory,
020107,Compiler Construction,
020109,Algorithms,
020111,Data Structures,
020113,Networks and Communications,
020115,Computer Graphics,
020117,Operating Systems,
020119,Artificial Intelligence,
020199,Computer Science n.e.c.,
020300,Information Systems,http://www.abs.gov.au/ausstats/abs@.nsf/0/E11E10504E56AB58CA256AAF001FCA84?opendocument
020301,Conceptual Modelling,
020303,Database Management,
020305,Systems Analysis and Design,
020307,Decision Support Systems,
020399,Information Systems n.e.c.,
029900,Other Information Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/9E1712BA4B1B5348CA256AAF001FCA85?opendocument
029901,Security Science,
029999,Information Technology n.e.c.,
0301,Manufacturing Engineering and Technology,
0303,Process and Resources Engineering,
0305,Automotive Engineering and Technology,
0307,Mechanical and Industrial Engineering and Technology,
0309,Civil Engineering,
0311,Geomatic Engineering,
0313,Electrical and Electronic Engineering and Technology,
0315,Aerospace Engineering and Technology,
0317,Maritime Engineering and Technology,
0399,Other Engineering and Related Technologies,
03,Engineering and Related Technologies,
030100,Manufact. Eng. & Technology,http://www.abs.gov.au/ausstats/abs@.nsf/0/81EB7F702C1CA4FBCA256AAF001FCA86?opendocument
030101,Manufacturing Engineering,
030103,Printing,
030105,Textile Making,
030107,Garment Making,
030109,Footwear Making,
030111,Wood Machining and Turning,
030113,Cabinet Making,
030115,Furniture Upholstery/Renovation,
030117,Furniture Polishing,
030199,Manufact. Eng. & Technology n.e.c.,
030300,Process & Resources Eng.,http://www.abs.gov.au/ausstats/abs@.nsf/0/5691D6DF0FC73CC6CA256AAF001FCA87?opendocument
030301,Chemical Engineering,
030303,Mining Engineering,
030305,Materials Engineering,
030307,Food Processing Technology,
030399,Process & Resources Eng. n.e.c.,
