
Electorate	Nº voted	Turnout

Arreton and Newchurch	3,070	1,289	41.99%

458	2	Erica Oulton (Conservative)	14.92%	35.53%	

529	1	Colin Richards (Island Independents)	17.23%	41.04%	

299	3	Ian Sherfield (UKIP)	9.74%	23.20%	


1286		Total votes cast			

3		Papers spoilt			


71		Votes won by			

5.52%		Winning margin			


Binstead and Fishbourne	2,766	1,160	41.94%

61	4	Katie Curtis (Labour)	1.99%	5.26%	

225	3	Alan Darnell (UKIP)	7.33%	19.40%	

315	2	Sylvia Sillar (Conservative)	10.26%	27.16%	

559	1	Ivor Warlow (Island Independents)	18.21%	48.19%	


1160		Total votes cast			

0		Papers spoilt			


244		Votes won by			

21.03%		Winning margin			


Brading, St Helens & Bembridge	6,189	2,549	41.19%

1308	1	Jonathan Bacon (Island Independents)	42.61%	51.31%	

131		Peter Coleman (Labour)	4.27%	5.14%	

607		Mary Collis (Conservative)	19.77%	23.81%	

732		Geoff Giles (Conservative)	23.84%	28.72%	

1121	1	Gordon Kendall (Independent)	36.51%	43.98%	

714		Mike Tarrant (UKIP)	23.26%	28.01%	


4613		Total votes cast			

-2064		Papers spoilt			


1308		Votes won by			

28.35%		Winning margin			


0		Votes won by			

#DIV/0!		Winning margin			


Carisbrooke	2,632	886	33.66%

431	1	John Hobart (Conservative)	14.04%	48.65%	

380	2	Mike Powell (Island Independents)	12.38%	42.89%	

72	3	Nick Wray (Labour)	2.35%	8.13%	


883		Total votes cast			

3		Papers spoilt			


51		Votes won by			

5.78%		Winning margin			


Central Wight	2,904	1,348	46.42%

297	3	Bob Keats (Green)	9.67%	22.03%	

700	1	Bob Seely (Conservative)	22.80%	51.93%	

342	2	Sally Turner (UKIP)	11.14%	25.37%	


1339		Total votes cast			

9		Papers spoilt			


358		Votes won by			

26.74%		Winning margin			


Chale, Niton & Whitwell	2,297	1,084	47.19%

168	3	Simon Haytack (Labour)	5.47%	15.50%	

256	2	Jai Nolan (UKIP)	8.34%	23.62%	

658	1	Dave Stewart (Conservative)	21.43%	60.70%	


1082		Total votes cast			

1		Papers spoilt			


168		Votes won by			

15.53%		Winning margin			


Cowes Medina	3,145	869	27.63%

Margaret Bryan (Labour)	0.00%	0.00%	

609	1	Cllr Lora Peacey-Wilcox (Independent)	19.84%	70.08%	

158	2	David Walters (Conservative)	5.15%	18.18%	


767		Total votes cast			

5		Papers spoilt			


0		Votes won by			

0.00%		Winning margin			


Cowes North	2,603	810	31.12%

416	1	Paul Bertie (Conservative)	13.55%	51.36%	

340	2	Rose Lynden-Bell (UKIP)	11.07%	41.98%	


756		Total votes cast			

54		Papers spoilt			


76		Votes won by			

10.05%		Winning margin			


Cowes South & Northwood	2,991	1,027	34.34%

502	2	Jude Ferris (Island Independents)	16.35%	48.88%	

518	1	John Nicholson (Conservative)	16.87%	50.44%	


1020		Total votes cast			

7		Papers spoilt			


16		Votes won by			

1.57%		Winning margin			


Cowes West & Gurnard	3,037	1,395	45.93%

1143	1	Paul Fuller JP (Independent)	37.23%	81.94%	

247	2	Mark McNeill (Conservative)	8.05%	17.71%	


1390		Total votes cast			

5		Papers spoilt			


896		Votes won by			

64.46%		Winning margin			


East Cowes	3,039	1,197	39.39%

367	1	Luisa Hillard (Island Independents)	11.95%	30.66%	

323	3	Daniel Moss (UKIP)	10.52%	26.98%	

137	4	Bob Packham (Lib Dem)	4.46%	11.45%	

364	2	Margaret Webster (Conservative)	11.86%	30.41%	


1191		Total votes cast			

6		Papers spoilt			


3		Votes won by			

0.25%		Winning margin			


Freshwater North	2,349	746	31.76%

402	1	David Eccles (Conservative)	13.09%	53.89%	

313	2	Michael Jennings (UKIP)	10.20%	41.96%	


715		Total votes cast			

31		Papers spoilt			


89		Votes won by			

12.45%		Winning margin			


Freshwater South	2,465	982	39.84%

320	2	George Cameron (Conservative)	10.42%	32.59%	

480	1	John Medland (Independent)	15.64%	48.88%	

179	3	Paul Taylor (UKIP)	5.83%	18.23%	


979		Total votes cast			

3		Papers spoilt			


160		Votes won by			

16.34%		Winning margin			


Godshill & Wroxall	2,583	1,121	43.40%

773	1	Rodney Downer (Island Independents)	25.18%	68.96%	

121	3	Nick John (Conservative)	3.94%	10.79%	

191	2	Paul St John Martin (UKIP)	6.22%	17.04%	

45	4	Jane McKean (Labour)	1.47%	4.01%	


1130		Total votes cast			

-9		Papers spoilt			


582		Votes won by			

51.50%		Winning margin			


Havenstreet, Ashey & Haylands	2,811	863	30.70%

249	2	Vanessa Churchman (Island Independents)	8.11%	28.85%	

287	1	Conrad Gauntlett (Conservative)	9.35%	33.26%	

194	3	Kim Joyce (UKIP)	6.32%	22.48%	

129	4	Malcolm Ross (Lib Dem)	4.20%	14.95%	


859		Total votes cast			

4		Papers spoilt			


38		Votes won by			

4.42%		Winning margin			


Lake North	2,835	864	30.48%

355	1	Alan Hollands (Labour)	11.56%	41.09%	

234	3	Emerson Maguire (UKIP)	7.62%	27.08%	

271	2	Gerry White (Conservative)	8.83%	31.37%	


860		Total votes cast			

4		Papers spoilt			


84		Votes won by			

9.77%		Winning margin			


Lake South	2,955	996	33.71%

381	1	Ray Bloomfield (Conservative)	12.41%	38.25%	

277	3	Geoff Clynch (Independent)	9.02%	27.81%	

331	2	Hugh Dinsdale (UKIP)	10.78%	33.23%	


989		Total votes cast			

1		Papers spoilt			


50		Votes won by			

5.06%		Winning margin			


Nettlestone & Seaview	2,551	1,368	53.63%

830	1	Reg Barry (Island Independents)	27.04%	60.67%	

149	3	Philip Lewin (UKIP)	4.85%	10.89%	

