title,review,score
Vodaphone Almost Ruined My Life - Stolen Identity - 0 Security,"My email and password were part of a company database leak a few months ago and hackers managed to access my Vodaphone account without my knowledge. (Vodaphone has 0 security in place, they don't even offer 2FA (Two Factor Authentication).ber so I had no phone or any means of contacting them). 

Within 15 minutes my life was upside down. I quickly realised I was now obviously not able to contact anyone or do anything with my phone as my sim had been canceled. These fraudsters had waited until the Vodaphone has shut on Friday afternoon before porting my number using vodaphone.com, knowing I could not visit a store for help. 

They then proceeded to recover my passwords for over 500 accounts as they were able to use my phone for the two-factor authentication.  They stole tens of thousands of dollars and made my life a living hell! I spent the next 3 days doing everything I could to stop them. Unfortunately, there was nothing I could do as they now had my identity. 

I was locked out of every account I own and essentially had my identy stolen. They cataloged all my backup passwords, recovery keys, and much more so that in the event that I did get my account back they could instantly recover it again. 
",1
Misguided Sale,"Misguided SaleCouple of days ago, I was told that I will get $500 + Trade-in value of my old phones. When I purchase any new phone.I ordered 3 phones (2x Iphone Max and 1x Samsung Note20).When sale completed, I was told to download Trade-in App and provide trade in reference Number.Today I called to 1555 with Trade-in reference of my old phone, Vodafone sales person told me that $500 trade-in is available to only with new Samsung S21.Anyone can help me to resolve the issue or should I go to The Telecommunications Industry Ombudsman (TIO).Vodafone sales team in India (1555) are not willing to help.",1
Worst network,"Worst network for data in Australia. I used Vodafone for mobile phone but when I need data away from my home wifi, I hate Vodafone. When I am on a highway, I am sure I do not get network for calls.",1
Insurance contract with them is bulshit,"They charged me for over a year a plan with insurance, which would provide me one month free phone, now after I make a claim of a spare phone to send my one to fix they said not having it available at the moment. So why they offer a product they can not attend?Terrible service, stay away of it",1
RECORD all your phonecalls with them when you have issues!!!!,"My parents and I have been with Vodafone for about 20 years. Thats strictly due to not finding another company with decent coverage and cheap prices. However, we would leave Vodafone in a heart beat should something else come along.ones. They offered to completely wipe the bills of the previous phone and have it removed. For the past 6 months i thought i had been paying for one phone, turns out the bill was for both. There is no record in the notes on their system stating any of that was promised which means, i now have to continue owing that. 

Please get everything in writing and record phone calls! If they say something make them write it up in an email and send it to you WHILE youâ€™re on the phone. Get all names down from the call workers. Record the phone call so if needed you can write down the phone call and take things further. You can also address the fact that youre recording to then make it legal.",1
Just as bad as telstra,Don't understand why I'm getting messages 2 days late and some aren't even getting through. If this is not sorted I'll be going else where,1
They alter your call records,"Definitely 0.They issue bills with incorrect call/sms history. Keep track and see for yourself. Stay away, although the other providers probably aren't much better.",1
Don't waste your money on a piece of crap  prepaid Vodafone mobile phone.I reckon a current affair should look into this.,Crap coverage constant drop outs and there is no such thing as sufficiently fast. You are rip offs. Scum bags.,1
They don't want my money,"Tried to sign up to a new plan for their bonuses, however offered to just give me a sim and get the phone after a couple months (i.e. so no bonus preorders)",1
Mobile coverage far worse than Telstra,Planning on switching my mobile phone service back to Telstra as the mobile coverage is pretty poor. Lots of areas with no coverage. SOS only.The broadband though is very fast,2
